Class,F1-score,Support
Apple___Apple_scab,0.9888,90
Apple___Black_rot,0.9945,90
Apple___Cedar_apple_rust,1.0,55
Apple___healthy,0.9773,90
Blueberry___healthy,0.989,90
Cherry_(including_sour)___Powdery_mildew,1.0,90
Cherry_(including_sour)___healthy,1.0,90
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,0.9333,90
Corn_(maize)___Common_rust_,1.0,90
Corn_(maize)___Northern_Leaf_Blight,0.9333,90
Corn_(maize)___healthy,1.0,90
Grape___Black_rot,0.9831,90
Grape___Esca_(Black_Measles),0.9783,90
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),0.9888,90
Grape___healthy,0.9941,84
Orange___Haunglongbing_(Citrus_greening),0.9945,90
Peach___Bacterial_spot,0.9889,90
Peach___healthy,0.9931,72
"Pepper,_bell___Bacterial_spot",0.9832,90
"Pepper,_bell___healthy",0.9721,90
Potato___Early_blight,0.9836,90
Potato___Late_blight,0.9535,90
Potato___healthy,0.9677,30
Raspberry___healthy,1.0,74
Soybean___healthy,0.9783,90
Squash___Powdery_mildew,1.0,90
Strawberry___Leaf_scorch,1.0,90
Strawberry___healthy,1.0,90
Tomato___Bacterial_spot,0.9231,90
Tomato___Early_blight,0.8984,90
Tomato___Late_blight,0.9392,90
Tomato___Leaf_Mold,0.9889,90
Tomato___Septoria_leaf_spot,0.9508,90
Tomato___Spider_mites Two-spotted_spider_mite,0.9667,90
Tomato___Target_Spot,0.9444,90
Tomato___Tomato_Yellow_Leaf_Curl_Virus,0.9775,90
Tomato___Tomato_mosaic_virus,0.9737,74
Tomato___healthy,1.0,90
